id,name,tld,cca2,capital,callingCode,continent,flag
4,Afghanistan,.af,AF,Kabul,93,Asia,af
380,Italy,.it,IT,Rome,39,Europe,it
250,France,.fr,FR,Paris,33,Europe,fr
458,Malaysia,.my,MY,Kuala Lumpur,60,Asia,my
478,Mauritania,.mr,MR,Nouakchott,222,Africa,mr
788,Tunisia,.tn,TN,Tunis,216,Africa,tn
834,Tanzania,.tz,TZ,Dodoma,255,Africa,tz
690,Seychelles,.sc,SC,Victoria,248,Africa,sc
578,Norway,.no,NO,Oslo,47,Europe,no
524,Nepal,.np,NP,Kathmandu,977,Asia,np
807,North Macedonia,.mk,MK,Skopje,389,Europe,mk